City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,2.03,95,99,7.5,GS,1738779746
1,port elizabeth,-33.918,25.5701,20.73,93,30,1.34,ZA,1738779747
2,newman,37.3138,-121.0208,10.58,67,20,3.13,US,1738779749
3,ketchikan,55.3422,-131.6461,0.99,55,0,4.63,US,1738779750
4,anadyr,64.75,177.4833,-37.72,73,0,4.0,RU,1738779752
5,misratah,32.3754,15.0925,15.77,67,100,2.72,LY,1738779753
6,yigo village,13.5361,144.8886,27.16,80,100,8.23,GU,1738779754
7,lebu,-37.6167,-73.65,19.21,67,28,3.5,CL,1738779755
8,waitangi,-43.9535,-176.5597,12.68,88,80,1.79,NZ,1738779756
9,yung shue wan,22.2333,114.1167,16.68,64,72,0.89,HK,1738779758
10,afaahiti,-17.75,-149.2833,25.61,82,70,6.62,PF,1738779759
11,murudeshwara,14.0943,74.4845,28.89,38,0,2.17,IN,1738779760
12,bilibino,68.0546,166.4372,-41.66,94,6,1.45,RU,1738779761
13,papatowai,-46.5619,169.4708,11.19,89,99,2.24,NZ,1738779762
14,mili,6.0815,171.735,26.92,84,97,9.19,MH,1738779764
15,arraial do cabo,-22.9661,-42.0278,32.98,51,20,8.75,BR,1738779765
16,port-aux-francais,-49.35,70.2167,6.65,94,98,12.35,TF,1738779766
17,tannum sands,-23.9504,151.3693,23.19,94,100,1.54,AU,1738779767
18,sinop,41.7711,34.8709,-2.66,97,100,1.31,TR,1738779769
19,haiku-pauwela,20.9219,-156.3051,21.69,82,20,4.47,US,1738779770
20,whitehorse,60.7161,-135.0538,-22.57,76,100,1.03,CA,1738779771
21,klyuchi,52.2667,79.1667,-13.99,87,21,5.06,RU,1738779773
22,sayat,38.7839,63.8803,8.99,40,0,4.06,TM,1738779774
23,georgetown,5.4112,100.3354,26.96,78,20,1.03,MY,1738779775
24,blackmans bay,-43.0167,147.3167,10.85,87,30,2.23,AU,1738779777
25,tiksi,71.6872,128.8694,-27.93,97,100,3.47,RU,1738779778
26,puerto ayora,-0.7393,-90.3518,26.42,88,2,2.24,EC,1738779780
27,bredasdorp,-34.5322,20.0403,18.11,53,100,3.84,ZA,1738779781
28,praia da vitoria,38.7333,-27.0667,19.14,82,20,3.37,PT,1738779782
29,talnakh,69.4865,88.3972,-25.08,92,91,2.15,RU,1738779783
30,armacao de buzios,-22.7469,-41.8817,33.09,70,17,10.47,BR,1738779785
31,waspan,14.7419,-83.9717,28.83,62,68,4.21,NI,1738779786
32,mpulungu,-8.7623,31.1141,22.88,84,100,0.72,ZM,1738779787
33,iqaluit,63.7506,-68.5145,-30.15,67,20,1.54,CA,1738779788
34,ancud,-41.8697,-73.8203,16.16,77,77,5.41,CL,1738779524
35,tandil,-37.3217,-59.1332,19.16,84,100,4.92,AR,1738779545
36,jamestown,42.097,-79.2353,-2.2,61,0,2.24,US,1738779792
37,aasiaat,68.7098,-52.8699,-30.73,99,77,1.76,GL,1738779794
38,lompoc,34.6391,-120.4579,12.4,87,100,2.06,US,1738779795
39,primero de mayo,-32.2552,-58.4228,43.38,15,83,4.94,AR,1738779796
40,traversetolo,44.6422,10.3772,2.12,67,1,1.24,IT,1738779797
41,invercargill,-46.4,168.35,11.68,90,100,0.89,NZ,1738779798
42,ecija,37.5422,-5.0826,12.0,55,0,2.36,ES,1738779799
43,karratha,-20.7377,116.8463,30.47,71,25,6.74,AU,1738779801
44,daru,-9.0763,143.2092,25.77,91,96,4.77,PG,1738779802
45,adamstown,-25.066,-130.1015,25.03,79,3,6.02,PN,1738779803
46,udachny,66.4167,112.4,-27.68,100,95,2.19,RU,1738779804
47,baharly,38.4362,57.4316,8.75,44,100,2.41,TM,1738779806
48,petropavlovsk-kamchatsky,53.0452,158.6483,-0.67,43,75,10.0,RU,1738779807
49,bryan,30.6744,-96.37,24.94,66,100,6.17,US,1738779808
50,bria,6.5423,21.9863,30.93,19,98,1.14,CF,1738779809
51,kavaratti,10.5669,72.642,27.27,71,0,2.84,IN,1738779811
52,bethel,41.3712,-73.414,0.12,44,0,4.12,US,1738779812
53,albany,42.6001,-73.9662,-4.87,49,38,1.79,US,1738779563
54,hermanus,-34.4187,19.2345,17.67,58,100,5.38,ZA,1738779814
55,libenge,3.65,18.6333,30.05,24,63,1.44,CD,1738779815
56,avarua,-21.2078,-159.775,26.03,94,100,1.54,CK,1738779816
57,odessa,46.4775,30.7326,0.48,58,73,4.84,UA,1738779564
58,edinburgh of the seven seas,-37.0676,-12.3116,18.41,92,85,10.79,SH,1738779819
59,iskateley,67.6803,53.1512,-10.75,94,38,6.28,RU,1738779820
60,usogorsk,63.4106,48.6872,-10.79,99,82,2.17,RU,1738779553
61,longyearbyen,78.2186,15.6401,-0.09,64,75,10.29,SJ,1738779823
62,uvalde,29.3669,-99.767,22.4,80,100,2.06,US,1738779824
63,horta,38.5333,-28.6333,18.8,91,75,4.63,PT,1738779825
